ID,id_rechov,me_k_rechov,me_shem_rechov,ad_k_rechov,ad_shem_rechov,tr_from,tr_to,k_sug,t_sug,k_sgira,shaot,sw_laila
1,4208,985,ברודצקי,2037,קרן היסוד,01/08/2021 0:00,02/12/2021 0:00,10,שיפור תשתיות,2,09:00-17:00 פרויקט מצוות סגירה מלאה בין השעות - עבודה של תאגיד המים,0
2,4468,3489,קויפמן יחזקאל,3730,העליה השניה,24/02/2023 0:00,24/02/2023 0:00,23,ארוע מרתון,2,"04:00-14:00 מרתון ת""א", חסימה מלאה
3,4337,579,מרים החשמונאית,496,אבן גבירול,01/05/2022 0:00,03/05/2022 0:00,21,"נת""ע – הרכבת הקלה",1,19:00-19:00 חסימת רחוב פנקס ממזרח למערב .,1
4,1075,193,ארלוזורוב,71,מרמורק,04/07/2015 0:00,04/07/2015 0:00,5,ארוע,2,20:30-23:59 מחאת פעילים חברתיים נגד מונופול הגז 4.7.15,1
5,1906,193,ארלוזורוב,788,שאול המלך,13/08/2017 0:00,12/10/2017 0:00,4,קרצוף וסלילה,1,21:00-05:00 ,1
6,1499,314,"של""ג",3489,קויפמן יחזקאל,30/06/2016 0:00,01/07/2016 0:00,5,ארוע,2,20:00-05:00 ירועי לילה לבן 30.6.16 רח' יסגרו לתנועה משעה 20:00 עד 05:00 למחרת.,1
7,2263,1257,קרן קיימת לישראל,2100,יוניצ'מן,05/05/2018 0:00,05/05/2018 0:00,5,ארוע,2,14:30-19:00 אירוע ג'ירו איטליה 5.5.2018 יום שבת,0
8,2236,406,המלך ג'ורג',343,"תרס""ט",05/05/2018 0:00,05/05/2018 0:00,5,ארוע,2,14:30-19:00 אירוע ג'ירו איטליה 5.5.2018 יום שבת הכבישים ייחסמו לתנועה החל משעה 14:30עד 19:00.,0
9,1621,2051,רוקח ישראל,788,שאול המלך,16/11/2016 0:00,16/11/2016 0:00,5,ארוע,2,19:00-00:00 ארוע מרוץ לילה 2016  ביום ד' ה 16.11.16 בין השעות 19:00 ל 00:00.,1
10,1581,409,לבנדה,390,איגר,02/10/2016 0:00,30/11/2016 0:00,1,שיפור תשתיות מדרכות וכביש,2,07:00-22:00 ,1
11,439,4002,גואל,4017,התקוה,06/05/2013 0:00,03/09/2013 0:00,1,שיפור תשתיות מדרכות וכביש,2,,0
12,2431,0,0,0,0,16/09/2018 0:00,18/09/2018 0:00,4,קרצוף וסלילה,1,22:00-05:00 ,1
13,2486,424,מסריק,4,אלנבי,13/11/2018 0:00,13/11/2018 0:00,5,ארוע,2,18:00-00:00 מרוץ לילה,1
14,4388,3367,אליפלט,3489,קויפמן יחזקאל,14/10/2022 0:00,14/10/2022 0:00,5,ארוע,2,,0
15,4387,3000,בן צבי,9550,וולפסון,14/10/2022 0:00,14/10/2022 0:00,5,ארוע,2,"04:30-14:00 אירוע סובב ת""א ", חסימה מלאה בשני הכיוונים
16,522,32,הקונגרס,414,שלמה,11/08/2013 0:00,29/11/2013 0:00,1,שיפור תשתיות מדרכות וכביש,2,07:00-19:00 ,0
17,1247,2224,משל ירוחם,941,לבנון חיים,12/11/2015 0:00,12/11/2015 0:00,4,קרצוף וסלילה,2,19:00-21:00 מירוץ האוניברסיטה,1
18,1926,2106,אשכול לוי,496,אבן גבירול,11/10/2017 0:00,11/10/2017 0:00,5,ארוע,2,"04:00-13:00 אירוע סובב ת""א מסע אופניים 11.10.2017 יום רביעי חוה""מ משעה 04:00 לפנה""ת עד 13:00 בצהריים.",1
19,1948,187,דיזנגוף,204,בן גוריון,31/10/2017 0:00,31/10/2017 0:00,5,ארוע,2,19:00-00:30 אירוע מרוץ לילה 2017 ב- 31.10 יום ג' משעה 19:00 עד 00:30.,1
20,2212,635,לה גוארדיה,54,בגין מנחם,19/04/2018 0:00,19/04/2018 0:00,5,ארוע,2,19:00-23:00 יום חמישי אירוע מצעד האור הכבישים ייחסמו לתנועה החל מ 19:00 עד 23:00.,1
21,1052,3489,קויפמן יחזקאל,314,"של""ג",25/06/2015 0:00,26/06/2015 0:00,5,ארוע,2,21:00-06:00 ארוע לילה לבן.,1
22,4290,99,גורדון יהודה ליב,3489,קויפמן יחזקאל,25/02/2022 0:00,25/02/2022 0:00,23,ארוע מרתון,2,"03:30-14:00 מרוץ ת""א", חסימה לשני הכיוונים
23,108,0,0,0,0,28/08/2011 0:00,28/01/2012 0:00,1,שיפור תשתיות מדרכות וכביש,1,07:00-07:00 נתיב מערבי + מדרכה,0
24,2114,204,בן גוריון,203,התערוכה,23/02/2018 0:00,23/02/2018 0:00,23,ארוע מרתון,2,"04:00-14:00 ארוע מרתון ת""א 23.2.2018 יום שישי הכבישים יחסמו לתנועה החל מ04:00 עד לשעה 14:00",1
25,4501,648,שונצינו,475,המסגר,28/05/2023 0:00,18/06/2023 0:00,10,שיפור תשתיות,2,"07:00-07:00 שדרת הקריה- ביצוע חיבור קו ניקוז מרחוב בן אביגדור לקו ניקוז ברחוב המסגר. ""	הכניסה והיציאה מרחוב בן אביגדור לא תתאפשר דרך רחוב המסגר . ""	הגישה לרחוב בן אביגדור תתאפשר דרך רחוב שונצינו בלבד.",0
26,2900,2106,אשכול לוי,496,אבן גבירול,28/02/2020 0:00,28/02/2020 0:00,23,ארוע מרתון,2,04:00-14:00 ,1
